attendance,behavior,quiz_score,mid_score,final_score,previous_grade,current_grade,decline
present,disturbing,65,48,90,63,59,1
late,disturbing,48,99,44,69,50,1
present,disturbing,95,73,64,88,69,1
present,not active,63,43,84,90,60,1
absent,disturbing,75,54,89,74,54,1
present,active,70,100,82,82,84,0
absent,active,89,90,40,51,63,0
absent,disturbing,72,70,68,72,52,1
absent,not active,79,42,73,66,51,1
late,not active,78,99,49,68,67,1
absent,active,85,53,70,53,59,0
late,not active,97,43,49,64,55,1
absent,not active,41,78,63,69,47,1
late,disturbing,100,57,100,63,72,0
present,active,90,100,47,90,79,1
absent,disturbing,61,81,96,65,61,1
present,disturbing,70,89,82,50,72,0
absent,not active,97,90,65,53,71,0
absent,active,49,60,91,59,56,1
present,disturbing,96,75,46,56,64,0
late,disturbing,89,46,98,94,64,1
present,not active,47,69,60,57,55,1
absent,disturbing,82,81,66,89,58,1
late,not active,70,89,70,93,68,1
late,active,54,90,88,67,72,0
late,disturbing,93,41,68,76,54,1
absent,active,75,54,47,97,48,1
absent,disturbing,85,53,66,77,50,1
late,active,48,51,42,92,42,1
late,active,46,55,51,57,45,1
late,disturbing,56,87,64,93,56,1
absent,not active,95,86,95,58,79,0
present,disturbing,51,76,78,81,60,1
late,disturbing,69,60,64,85,51,1
late,not active,93,97,46,95,70,1
absent,disturbing,85,53,52,93,45,1
late,disturbing,79,48,74,94,54,1
late,active,82,78,82,52,75,0
present,disturbing,85,44,65,100,56,1
late,active,99,51,86,94,73,1
present,not active,77,92,79,61,79,0
late,not active,98,82,79,85,78,1
absent,not active,71,61,50,78,47,1
absent,active,58,70,83,55,60,0
absent,disturbing,85,75,90,84,65,1
absent,disturbing,46,76,100,92,56,1
late,active,99,86,59,75,76,0
present,disturbing,89,45,74,87,61,1
late,not active,100,67,63,72,68,1
late,not active,47,77,78,78,59,1
absent,active,87,75,59,91,63,1
late,not active,89,72,84,82,73,1
late,not active,63,72,41,59,50,1
absent,not active,95,65,94,51,71,0
present,active,96,92,82,87,90,0
late,not active,58,98,84,91,72,1
late,not active,50,57,67,61,50,1
present,active,40,77,78,74,65,1
late,not active,96,98,90,53,86,0
present,active,60,96,95,55,83,0
late,active,49,65,44,100,47,1
late,disturbing,92,73,96,97,74,1
present,not active,41,85,56,50,57,0
absent,active,43,46,62,85,40,1
late,not active,80,58,56,84,56,1
late,disturbing,68,61,77,100,55,1
present,active,68,53,50,63,57,1
present,active,42,49,100,74,63,1
absent,not active,78,84,41,95,54,1
late,active,76,86,86,99,77,1
absent,active,56,51,89,90,55,1
present,disturbing,84,65,72,86,65,1
present,active,41,94,97,56,77,0
absent,active,82,53,52,87,52,1
absent,disturbing,78,54,94,79,57,1
absent,disturbing,58,84,50,79,46,1
late,active,40,51,93,82,56,1
absent,not active,53,93,62,73,56,1
absent,not active,55,94,78,64,62,1
absent,active,75,55,65,72,55,1
present,disturbing,51,65,49,93,47,1
late,disturbing,66,85,86,75,66,1
present,not active,47,48,54,78,46,1
absent,disturbing,54,70,88,86,52,1
absent,not active,63,50,52,65,42,1
absent,not active,76,95,90,57,74,0
present,not active,55,89,67,74,67,1
late,disturbing,60,80,82,81,61,1
late,active,66,59,57,57,55,1
absent,not active,56,85,65,74,55,1
late,not active,72,63,89,60,66,0
late,disturbing,75,71,92,86,66,1
late,active,92,85,41,75,67,1
present,disturbing,56,85,96,58,71,0
late,not active,52,78,87,98,64,1
absent,not active,81,48,68,97,52,1
absent,disturbing,71,72,96,71,61,1
late,not active,91,76,58,59,67,0
absent,active,93,68,87,51,72,0
present,active,54,61,44,86,53,1
present,disturbing,59,68,97,78,66,1
absent,active,52,93,97,54,70,0
late,not active,77,97,86,62,78,0
present,active,44,60,94,80,66,1
absent,not active,97,72,61,83,63,1
late,disturbing,97,75,91,98,74,1
late,active,63,71,45,99,54,1
absent,disturbing,64,89,46,59,48,1
late,not active,99,63,100,57,79,0
present,not active,72,65,85,58,71,0
absent,active,72,52,50,75,48,1
present,active,61,41,78,99,60,1
present,active,79,77,74,99,76,1
absent,active,54,93,100,78,72,1
late,active,53,76,94,95,69,1
present,active,91,64,54,100,69,1
present,not active,93,84,82,93,83,1
absent,not active,43,66,98,58,56,1
late,disturbing,52,49,55,88,39,1
absent,disturbing,47,81,88,53,54,0
present,disturbing,48,86,86,53,65,0
absent,active,78,48,42,95,46,1
present,active,73,81,53,86,69,1
absent,not active,72,44,81,51,52,0
absent,active,65,60,100,57,65,0
absent,disturbing,53,66,92,70,52,1
absent,active,70,94,70,81,68,1
absent,not active,53,86,70,82,56,1
late,active,53,54,93,98,61,1
absent,active,76,89,68,66,67,0
present,active,54,82,83,50,73,0
present,disturbing,59,42,76,96,51,1
present,disturbing,49,79,62,60,55,1
late,active,73,53,66,69,59,1
absent,active,69,50,98,85,62,1
present,not active,65,90,77,94,74,1
absent,active,80,80,56,69,62,1
late,not active,65,41,42,87,41,1
absent,active,79,94,94,77,79,0
present,disturbing,91,77,42,76,62,1
present,not active,54,56,100,61,67,0
late,active,55,89,68,75,65,1
late,not active,58,91,72,73,65,1
absent,active,46,43,100,97,53,1
absent,not active,58,75,67,80,53,1
late,disturbing,80,74,44,72,53,1
present,not active,54,99,46,50,63,0
present,disturbing,44,82,93,99,65,1
late,not active,60,90,62,50,62,0
late,disturbing,66,47,82,100,52,1
present,active,47,71,87,87,68,1
absent,not active,55,42,87,62,48,1
absent,disturbing,93,98,50,87,62,1
absent,not active,41,42,53,53,32,1
late,not active,44,67,86,95,57,1
absent,not active,65,74,94,83,64,1
late,disturbing,99,96,75,89,77,1
absent,disturbing,76,56,66,85,48,1
absent,disturbing,44,42,79,73,37,1
present,active,46,94,85,58,75,0
absent,disturbing,57,59,95,90,52,1
absent,disturbing,78,48,48,99,40,1
late,active,40,47,92,81,54,1
late,active,73,73,55,61,62,0
absent,not active,55,100,42,58,52,1
present,active,44,59,51,97,51,1
absent,disturbing,98,75,91,89,70,1
late,disturbing,98,81,69,55,69,0
late,active,49,43,59,64,45,1
absent,disturbing,94,83,46,79,56,1
present,active,53,98,56,93,69,1
present,disturbing,56,61,58,62,50,1
absent,disturbing,87,67,67,82,55,1
absent,active,84,64,71,51,63,0
present,not active,83,41,64,97,59,1
present,active,73,57,79,50,69,0
present,active,42,58,82,79,60,1
present,active,69,51,49,77,56,1
present,not active,61,96,43,85,63,1
late,active,78,72,97,66,77,0
present,not active,87,90,87,79,85,0
present,active,85,75,66,87,75,1
late,not active,90,54,99,58,73,0
present,not active,69,95,95,75,83,0
absent,not active,85,60,57,82,54,1
late,disturbing,42,54,81,86,46,1
present,not active,94,57,69,90,70,1
absent,disturbing,66,51,93,83,52,1
absent,not active,50,92,91,59,64,0
late,not active,73,90,93,60,77,0
present,active,42,84,67,55,64,0
absent,disturbing,71,79,93,77,63,1
present,disturbing,46,91,62,76,58,1
absent,active,53,61,61,71,48,1
present,not active,98,55,81,93,75,1
absent,active,66,85,81,76,67,1
present,active,41,75,65,54,60,0
absent,active,89,40,60,56,53,1
absent,disturbing,93,54,82,66,58,1
absent,not active,48,46,72,73,42,1
absent,not active,89,56,70,60,58,1
absent,disturbing,72,83,98,74,66,1
late,disturbing,66,57,66,85,50,1
late,not active,41,89,62,89,56,1
present,active,91,64,70,51,75,0
late,active,61,91,86,55,74,0
present,disturbing,96,74,54,97,66,1
present,active,89,68,56,78,71,1
absent,not active,73,80,84,53,66,0
absent,active,45,92,67,70,58,1
late,disturbing,68,58,69,67,52,1
late,active,90,52,55,93,60,1
absent,active,50,47,90,88,52,1
absent,active,90,62,86,99,69,1
absent,not active,42,66,53,60,40,1
present,disturbing,40,48,95,50,53,0
absent,not active,62,46,72,92,47,1
absent,active,76,40,86,80,57,1
late,active,56,92,95,96,76,1
absent,not active,97,69,64,57,63,0
absent,active,72,75,95,82,70,1
absent,active,47,92,99,83,69,1
present,not active,70,52,67,93,60,1
absent,active,95,66,69,67,66,1
absent,not active,41,50,95,56,49,1
late,disturbing,47,67,75,83,50,1
late,not active,40,80,89,89,61,1
present,not active,63,80,98,60,77,0
late,not active,42,87,46,85,50,1
late,not active,91,60,84,86,70,1
late,not active,63,88,57,72,61,1
late,active,71,73,49,88,59,1
present,active,71,84,42,69,65,1
present,active,84,46,50,51,60,0
late,active,43,62,51,97,47,1
late,active,48,66,52,80,50,1
absent,active,77,49,41,68,45,1
absent,not active,77,73,87,78,66,1
absent,active,76,85,89,78,73,1
present,active,89,62,100,66,83,0
late,disturbing,99,82,60,60,67,0
present,active,98,87,86,68,90,0
absent,disturbing,63,71,50,52,43,1
absent,disturbing,42,73,85,79,48,1
absent,active,41,97,45,92,51,1
absent,active,40,79,94,80,61,1
present,disturbing,66,96,78,89,72,1
late,disturbing,77,80,64,98,60,1
late,disturbing,40,49,48,53,32,1
absent,disturbing,67,69,90,90,57,1
late,not active,83,64,60,84,61,1
present,not active,71,54,89,86,68,1
absent,active,97,67,44,51,59,0
late,not active,48,77,98,94,66,1
late,not active,92,66,82,72,72,0
present,disturbing,80,87,86,82,76,1
absent,active,90,81,89,87,76,1
absent,active,80,73,51,57,58,0
present,active,95,54,49,85,66,1
present,not active,65,52,81,61,63,0
present,active,58,72,58,63,62,1
absent,disturbing,71,55,40,80,37,1
absent,active,63,40,46,93,39,1
present,not active,88,47,90,90,72,1
present,active,73,67,90,69,76,0
absent,active,56,84,43,51,51,0
absent,disturbing,85,90,93,86,71,1
present,not active,99,53,55,91,66,1
present,not active,42,41,74,96,49,1
present,active,71,49,48,96,56,1
late,not active,78,64,74,70,64,1
absent,active,67,48,94,59,59,0
late,disturbing,64,51,87,53,54,0
present,not active,54,58,87,75,63,1
present,active,85,48,87,61,73,0
present,disturbing,79,77,70,59,67,0
late,disturbing,91,40,71,72,54,1
absent,disturbing,100,52,54,60,50,1
late,disturbing,70,53,46,79,43,1
present,not active,46,89,46,91,57,1
absent,active,42,43,96,85,50,1
late,active,67,65,54,77,57,1
present,not active,98,99,92,85,93,0
present,not active,44,97,83,73,71,1
late,active,90,90,50,83,71,1
late,active,56,65,93,57,66,0
present,active,48,45,72,53,55,0
late,not active,58,94,54,58,60,0
absent,disturbing,83,96,46,84,57,1
present,active,70,40,48,81,52,1
present,not active,72,93,62,76,72,1
late,active,92,70,100,98,82,1
late,not active,91,89,48,86,68,1
late,disturbing,49,61,49,56,40,1
present,not active,40,56,59,94,48,1
late,active,83,45,46,64,53,1
present,active,69,90,59,94,72,1
late,disturbing,86,95,58,71,66,1
absent,active,88,88,54,72,66,1
absent,active,57,77,63,51,55,0
present,active,96,96,73,62,88,0
late,active,78,52,79,100,64,1
late,not active,72,96,68,58,70,0
late,not active,59,55,89,55,59,0
late,disturbing,63,62,56,72,47,1
absent,active,51,43,70,87,44,1
late,disturbing,56,97,84,58,66,0
absent,not active,78,53,49,88,47,1
absent,not active,74,62,42,56,46,1
present,active,57,57,40,79,51,1
late,active,64,55,60,55,54,1
present,disturbing,72,49,82,76,59,1
present,active,41,73,58,89,57,1
absent,active,76,65,49,57,53,1
late,not active,60,86,46,76,56,1
absent,active,74,54,40,85,46,1
present,not active,45,47,52,80,45,1
present,active,51,42,94,55,62,0
late,not active,100,41,52,63,56,1
late,not active,70,87,83,85,72,1
present,active,43,43,52,63,46,1
present,active,59,71,61,91,63,1
late,disturbing,73,65,59,74,52,1
absent,active,93,44,92,62,66,0
present,disturbing,61,40,57,64,44,1
absent,disturbing,56,47,57,78,35,1
absent,disturbing,69,78,79,79,57,1
late,not active,55,56,84,60,57,1
absent,active,73,90,78,69,70,0
absent,not active,80,100,51,60,64,0
late,active,62,69,79,90,65,1
present,disturbing,57,43,59,100,45,1
late,disturbing,98,42,78,70,59,1
present,active,72,96,92,57,86,0
present,disturbing,96,73,52,73,65,1
late,not active,90,81,56,55,67,0
present,not active,65,87,98,75,80,0
present,active,64,43,97,62,68,0
late,disturbing,88,100,90,66,79,0
late,active,42,98,53,89,59,1
absent,disturbing,57,82,97,88,60,1
late,not active,82,43,84,98,61,1
late,not active,54,81,67,95,59,1
present,not active,60,99,66,99,72,1
late,disturbing,48,90,76,78,58,1
absent,disturbing,50,75,86,98,52,1
absent,not active,89,96,45,63,63,0
absent,active,68,63,87,90,62,1
absent,active,62,47,55,97,44,1
absent,active,92,91,45,64,66,0
present,active,72,96,53,50,73,0
absent,disturbing,53,59,75,72,44,1
late,active,78,72,52,99,62,1
late,active,52,63,60,72,53,1
absent,active,83,53,87,68,64,1
absent,disturbing,41,95,70,88,50,1
late,active,57,80,73,53,65,0
present,not active,70,50,54,62,55,1
absent,not active,59,76,65,77,53,1
present,disturbing,99,47,53,99,58,1
absent,not active,66,76,75,58,59,0
present,disturbing,87,95,52,60,70,0
late,active,80,60,57,72,60,1
absent,active,76,46,98,76,63,1
absent,active,99,75,50,89,64,1
absent,not active,97,41,45,76,48,1
present,not active,53,78,40,68,54,1
late,disturbing,43,49,100,50,51,0
absent,active,69,65,47,73,50,1
late,not active,60,43,99,81,59,1
late,not active,53,98,57,55,61,0
late,not active,85,90,63,89,71,1
absent,disturbing,72,95,42,91,51,1
late,active,52,61,64,98,54,1
late,disturbing,57,65,60,75,47,1
present,not active,63,98,71,59,74,0
absent,active,89,74,83,87,72,1
absent,active,68,44,92,59,58,1
present,disturbing,75,60,84,51,65,0
absent,disturbing,68,78,50,76,47,1
present,active,69,77,96,80,80,0
late,not active,63,81,89,52,69,0
present,not active,64,54,67,67,58,1
late,disturbing,47,54,83,77,48,1
present,active,40,66,53,94,53,1
absent,active,89,96,80,53,78,0
absent,not active,98,50,57,52,55,0
absent,active,74,67,80,58,63,0
absent,not active,47,97,48,87,51,1
absent,active,77,97,73,94,72,1
present,active,78,69,76,64,74,0
absent,not active,97,92,42,67,64,1
absent,disturbing,91,64,63,89,54,1
present,active,96,53,79,79,76,1
absent,not active,76,61,86,73,61,1
absent,not active,60,98,61,52,60,0
absent,not active,59,52,96,89,56,1
late,not active,71,68,47,52,54,0
present,disturbing,41,68,82,52,55,0
present,disturbing,92,95,75,69,79,0
present,active,87,61,75,77,74,1
late,active,76,54,76,56,63,0
present,not active,65,63,92,66,70,0
late,active,48,65,45,51,47,1
present,not active,44,68,45,57,49,1
present,not active,52,53,41,71,45,1
absent,disturbing,65,86,67,65,54,1
late,active,48,89,99,94,73,1
absent,disturbing,66,54,60,70,42,1
present,disturbing,50,61,51,79,46,1
present,disturbing,95,56,59,73,62,1
present,active,55,71,45,67,57,1
present,not active,42,74,84,81,63,1
late,not active,54,88,68,77,62,1
absent,disturbing,71,93,43,69,51,1
present,disturbing,68,92,66,66,67,0
present,active,85,42,81,76,69,1
late,disturbing,62,95,73,90,63,1
present,active,45,51,64,85,53,1
present,active,99,63,72,81,78,1
absent,active,94,85,54,94,67,1
absent,active,43,70,54,60,45,1
late,disturbing,81,42,88,79,57,1
absent,disturbing,78,100,81,98,68,1
present,active,62,48,69,85,59,1
absent,disturbing,82,65,59,87,50,1
absent,disturbing,73,58,59,89,45,1
absent,not active,72,73,48,95,51,1
late,disturbing,81,70,98,98,70,1
absent,not active,92,88,58,54,66,0
late,active,69,99,89,78,80,0
present,active,64,47,73,54,61,0
late,active,73,57,97,58,70,0
present,disturbing,92,84,53,61,68,0
absent,not active,68,73,90,99,64,1
late,disturbing,67,41,69,84,46,1
absent,active,87,45,61,67,54,1
late,active,70,79,63,77,65,1
present,not active,47,96,43,87,59,1
late,active,98,92,60,73,78,0
late,not active,72,57,78,90,61,1
late,active,91,43,53,74,57,1
absent,active,98,98,70,99,78,1
late,active,53,56,93,75,62,1
late,disturbing,88,71,66,99,62,1
late,not active,66,58,68,74,56,1
present,disturbing,82,77,78,62,71,0
absent,active,58,90,47,98,55,1
late,active,62,69,84,95,66,1
absent,not active,80,62,74,94,59,1
absent,active,49,42,93,52,51,1
late,not active,86,86,99,86,82,1
present,not active,40,98,71,55,66,0
absent,active,83,75,99,63,75,0
late,active,67,96,40,50,62,0
present,active,53,46,99,55,66,0
absent,disturbing,91,81,72,71,63,1
late,not active,54,68,41,82,46,1
late,active,57,46,50,79,46,1
present,not active,80,40,48,78,53,1
late,active,40,83,69,65,59,1
present,disturbing,73,43,47,81,46,1
present,active,48,50,62,85,53,1
late,active,79,49,76,63,63,0
present,not active,87,63,46,76,62,1
late,not active,60,92,82,87,70,1
absent,active,43,96,50,80,53,1
absent,disturbing,67,84,67,58,54,1
late,not active,54,42,74,56,48,1
absent,not active,61,89,42,53,51,1
absent,active,98,50,48,95,55,1
present,disturbing,41,95,85,86,65,1
present,disturbing,91,66,92,74,75,0
absent,not active,80,45,96,63,60,1
absent,active,83,85,78,65,72,0
present,disturbing,67,100,71,100,71,1
present,disturbing,80,52,85,68,64,1
late,not active,58,78,75,89,62,1
late,not active,42,76,70,83,54,1
late,active,72,76,75,77,69,1
absent,active,46,42,93,100,50,1
present,not active,90,66,66,87,71,1
absent,disturbing,57,74,51,76,42,1
late,not active,45,100,66,100,62,1
late,disturbing,78,63,97,94,66,1
present,active,99,95,66,82,86,0
absent,active,61,97,61,95,63,1
present,not active,47,44,99,64,60,1
present,disturbing,70,65,60,78,57,1
present,not active,90,54,47,56,60,0
present,disturbing,46,95,90,81,69,1
present,not active,42,67,58,91,52,1
present,active,42,46,97,60,61,0
present,not active,81,71,51,62,64,0
absent,disturbing,99,56,99,60,66,0
absent,active,47,58,45,63,40,1
late,active,92,87,50,61,71,0
absent,active,53,43,56,94,40,1
late,disturbing,43,99,94,78,65,1
late,disturbing,57,57,99,76,58,1
absent,not active,43,95,66,66,55,1
late,disturbing,84,43,51,64,46,1
late,not active,90,79,63,89,69,1
present,active,71,54,79,63,68,0
present,disturbing,64,58,54,67,50,1
present,active,86,59,98,64,81,0
absent,active,45,85,93,61,64,0
absent,not active,76,80,56,84,57,1
absent,not active,61,80,55,81,52,1
absent,active,82,68,72,94,64,1
late,disturbing,76,63,76,87,58,1
late,not active,49,100,46,52,57,0
late,not active,61,42,75,55,51,1
late,disturbing,62,78,60,51,53,0
absent,active,84,68,73,60,65,0
late,active,71,47,83,75,62,1
late,active,67,56,52,85,53,1
absent,not active,65,59,77,72,54,1
absent,disturbing,53,67,58,85,41,1
late,active,49,41,63,50,46,1
present,active,84,49,56,86,63,1
late,active,66,73,52,74,58,1
late,active,68,78,78,95,69,1
present,disturbing,62,67,54,68,53,1
absent,not active,95,73,91,78,73,1
absent,active,85,93,47,78,65,1
present,not active,86,51,87,76,71,1
absent,disturbing,67,76,71,59,53,1
present,disturbing,61,99,91,69,75,0
absent,disturbing,62,42,78,81,42,1
present,not active,65,47,60,91,54,1
absent,not active,68,58,87,57,58,0
late,disturbing,61,83,68,78,57,1
absent,not active,77,77,72,99,62,1
present,active,100,81,94,85,91,0
absent,not active,46,87,86,83,60,1
late,disturbing,46,57,82,67,48,1
absent,disturbing,55,59,53,66,37,1
present,disturbing,74,51,70,66,57,1
absent,not active,59,51,62,66,44,1
absent,active,49,92,59,63,56,1
absent,not active,80,60,48,78,49,1
late,disturbing,93,50,55,66,53,1
present,not active,94,82,78,62,81,0
absent,active,86,61,43,75,53,1
absent,disturbing,93,83,100,98,74,1
absent,disturbing,58,75,92,73,57,1
present,not active,61,69,99,59,73,0
absent,active,82,76,93,75,73,1
present,active,97,60,92,79,83,0
late,not active,64,74,81,51,65,0
absent,not active,73,81,54,89,56,1
late,disturbing,51,53,67,94,44,1
absent,not active,62,90,64,66,59,1
late,active,67,97,77,76,75,1
late,not active,94,80,97,68,82,0
absent,disturbing,48,72,86,78,50,1
present,active,62,69,100,92,77,1
absent,not active,100,60,65,98,62,1
present,active,95,70,88,77,84,0
absent,not active,45,87,52,77,48,1
absent,not active,48,97,63,66,56,1
late,active,67,82,59,63,64,0
absent,active,45,67,59,74,47,1
present,disturbing,69,59,88,85,64,1
absent,active,77,43,96,93,62,1
absent,active,91,71,84,63,72,0
present,not active,61,55,44,52,50,1
present,disturbing,46,83,63,78,56,1
absent,not active,47,97,50,97,51,1
present,not active,62,40,45,93,46,1
absent,not active,96,47,77,73,60,1
present,disturbing,43,71,89,79,59,1
present,active,65,56,99,81,73,1
present,disturbing,68,74,67,98,61,1
late,active,71,70,60,56,62,0
late,disturbing,61,43,43,83,36,1
absent,disturbing,62,71,74,52,51,1
late,disturbing,84,85,76,51,68,0
absent,disturbing,68,52,88,50,51,0
late,active,56,65,51,75,52,1
late,disturbing,95,76,85,54,72,0
absent,not active,52,51,88,68,50,1
absent,not active,83,55,62,66,53,1
absent,active,84,98,68,72,73,0
absent,not active,67,68,100,67,65,1
present,disturbing,75,88,43,83,60,1
absent,disturbing,86,40,70,80,47,1
late,active,50,98,69,93,67,1
absent,active,94,76,83,78,74,1
late,disturbing,68,71,70,89,56,1
late,not active,76,61,71,56,61,0
present,not active,76,84,72,96,74,1
absent,active,78,81,54,96,61,1
late,disturbing,44,55,66,56,42,1
absent,not active,74,99,91,78,75,1
late,active,48,94,68,52,65,0
present,disturbing,76,59,53,51,54,0
present,disturbing,78,62,41,78,52,1
present,active,47,47,93,84,62,1
absent,disturbing,79,83,68,89,58,1
late,disturbing,70,40,95,92,55,1
late,active,94,83,96,54,86,0
absent,active,95,93,57,53,71,0
absent,disturbing,98,96,50,84,63,1
present,not active,50,62,48,91,50,1
present,disturbing,49,57,90,75,57,1
absent,active,71,93,50,62,61,1
late,disturbing,60,85,42,87,49,1
present,disturbing,53,55,93,87,59,1
late,active,48,82,59,85,58,1
late,active,64,54,54,72,52,1
present,not active,89,47,47,54,58,0
absent,active,43,87,53,90,51,1
present,active,100,59,56,87,71,1
absent,disturbing,93,95,50,70,61,1
absent,not active,77,73,49,89,53,1
present,active,80,48,80,85,69,1
late,not active,93,62,74,60,68,0
present,active,83,75,93,65,83,0
present,active,95,68,80,91,81,1
present,not active,74,87,59,65,70,0
present,active,70,49,46,78,55,1
present,disturbing,55,75,53,80,53,1
present,not active,49,56,67,98,54,1
late,active,69,47,82,97,61,1
present,active,95,78,76,57,83,0
present,not active,41,60,97,83,63,1
absent,active,60,42,62,86,44,1
absent,active,40,82,62,83,51,1
late,disturbing,78,42,72,52,51,1
late,not active,99,64,45,74,61,1
present,disturbing,61,76,94,51,69,0
present,disturbing,98,50,91,63,71,0
late,not active,77,97,96,76,82,0
present,not active,86,89,62,100,76,1
absent,disturbing,65,97,80,80,62,1
late,disturbing,85,82,68,90,65,1
absent,not active,96,90,68,50,71,0
late,disturbing,97,63,80,65,67,0
absent,not active,50,57,67,68,45,1
absent,active,93,53,43,56,53,1
absent,not active,56,66,58,60,47,1
late,active,83,56,82,54,68,0
present,not active,46,93,71,67,67,0
absent,disturbing,50,71,89,73,52,1
absent,not active,88,99,54,75,67,1
present,not active,76,98,71,82,78,1
present,disturbing,76,85,47,93,61,1
late,active,90,44,53,95,57,1
absent,disturbing,47,64,56,73,37,1
late,not active,60,57,100,77,64,1
absent,not active,69,54,80,89,54,1
late,disturbing,71,99,98,95,76,1
late,active,50,80,96,96,70,1
absent,active,53,61,70,68,51,1
late,active,79,57,86,92,69,1
present,active,53,87,66,71,68,1
late,not active,69,94,81,58,73,0
present,disturbing,86,82,71,100,71,1
absent,disturbing,44,82,64,60,45,1
absent,not active,76,95,58,64,63,1
present,not active,84,41,43,50,53,0
absent,active,95,98,48,95,70,1
late,active,53,49,46,63,44,1
present,active,45,87,64,76,65,1
present,disturbing,79,98,50,82,67,1
late,not active,54,80,42,95,50,1
late,active,52,77,95,97,69,1
late,disturbing,73,49,75,60,52,1
absent,not active,88,56,52,70,52,1
present,not active,99,78,87,95,85,1
present,active,98,87,63,58,82,0
absent,disturbing,73,58,60,59,45,1
present,disturbing,55,68,81,96,60,1
present,not active,53,56,88,91,62,1
late,not active,50,62,59,98,49,1
absent,disturbing,94,99,66,91,68,1
late,disturbing,78,98,73,91,70,1
present,disturbing,43,98,41,90,52,1
late,not active,87,71,68,88,67,1
absent,not active,76,74,59,58,56,1
late,active,78,90,62,90,71,1
late,active,49,53,72,99,53,1
late,active,66,91,40,55,60,0
late,disturbing,55,76,74,55,55,0
present,not active,90,77,68,56,75,0
absent,not active,76,87,45,80,56,1
absent,active,55,50,63,79,46,1
late,active,90,55,53,90,61,1
present,not active,78,46,64,68,59,1
absent,not active,48,96,80,98,61,1
present,active,52,40,76,54,56,0
absent,not active,77,53,64,66,51,1
absent,disturbing,53,53,44,97,32,1
present,not active,97,42,73,72,67,1
present,active,42,71,57,53,56,0
present,disturbing,53,96,73,68,66,1
present,disturbing,49,80,92,78,65,1
absent,active,54,94,76,85,64,1
absent,not active,86,55,63,64,55,1
present,disturbing,53,48,97,72,58,1
present,active,87,92,83,53,87,0
absent,active,42,59,61,71,44,1
late,active,97,54,58,69,64,1
late,disturbing,100,91,92,58,81,0
present,active,41,60,74,81,58,1
late,disturbing,71,74,87,65,64,1
present,active,65,86,77,71,76,0
present,disturbing,44,54,72,97,48,1
present,not active,50,82,85,88,69,1
present,active,97,42,97,66,78,0
present,not active,59,66,68,68,61,1
absent,disturbing,90,96,91,78,74,1
absent,disturbing,46,67,74,59,44,1
absent,not active,48,96,95,64,66,0
late,active,49,73,52,81,53,1
present,disturbing,100,94,76,86,82,1
late,disturbing,87,96,55,86,66,1
late,not active,81,87,42,77,62,1
absent,active,54,77,52,94,51,1
late,active,63,65,52,92,55,1
present,not active,46,77,94,95,69,1
late,not active,74,69,100,59,73,0
absent,active,57,92,50,86,56,1
late,disturbing,94,74,77,63,68,0
late,disturbing,42,90,92,71,61,1
absent,disturbing,66,67,79,58,52,1
present,disturbing,69,56,72,78,57,1
absent,disturbing,40,77,58,85,40,1
present,disturbing,66,58,68,78,56,1
late,active,83,70,90,66,76,0
present,disturbing,67,67,84,83,64,1
late,disturbing,69,96,82,63,69,0
late,disturbing,48,52,95,64,52,1
present,disturbing,44,70,82,52,57,0
late,not active,95,42,86,70,66,1
late,disturbing,83,99,47,70,63,1
late,not active,86,98,42,57,67,0
absent,active,57,70,78,74,58,1
present,not active,42,56,97,86,62,1
present,active,99,91,46,73,78,0
present,not active,67,73,50,78,60,1
late,active,68,93,57,51,67,0
late,not active,70,42,94,89,60,1
present,disturbing,40,60,70,95,48,1
absent,active,46,48,60,79,41,1
present,active,43,88,76,94,69,1
present,active,59,68,72,72,66,1
late,disturbing,91,99,80,87,77,1
present,disturbing,73,98,77,76,74,1
present,disturbing,97,74,86,59,77,0
absent,not active,96,89,98,94,81,1
late,not active,57,54,48,81,45,1
late,active,86,46,50,53,55,0
absent,disturbing,48,78,45,84,39,1
present,active,60,53,81,50,64,0
absent,active,94,47,40,93,50,1
late,disturbing,55,87,53,56,52,1
late,disturbing,40,56,86,88,47,1
present,disturbing,90,81,49,65,65,0
late,disturbing,76,47,83,96,55,1
late,disturbing,87,43,88,79,59,1
late,not active,50,97,44,90,55,1
present,not active,70,51,63,81,58,1
present,disturbing,41,72,90,63,59,1
absent,not active,52,94,84,65,63,1
absent,active,52,75,57,70,51,1
late,active,45,82,88,79,66,1
late,disturbing,76,98,71,62,68,0
late,not active,92,90,77,93,78,1
late,active,100,63,57,58,68,0
absent,disturbing,84,72,100,82,67,1
absent,not active,81,83,83,63,69,0
late,active,88,60,68,87,67,1
absent,not active,91,56,46,74,51,1
present,not active,47,82,62,69,60,1
late,not active,47,84,95,63,67,0
present,active,88,52,90,72,76,0
present,disturbing,77,51,44,100,49,1
absent,disturbing,59,58,68,100,43,1
absent,disturbing,85,44,52,61,42,1
present,active,88,85,95,62,89,0
absent,disturbing,47,78,57,83,42,1
late,not active,56,66,49,86,49,1
present,disturbing,67,45,84,79,57,1
absent,disturbing,56,44,82,63,42,1
present,not active,58,54,48,56,50,1
present,disturbing,73,46,95,87,63,1
present,disturbing,78,89,85,92,76,1
present,active,65,58,47,91,56,1
present,active,67,44,47,73,52,1
